Wall time,Step,Value
1655944920.1546385,6000,-1038.1690673828125
1655944972.7201078,19000,-883.8236694335938
1655944996.2550154,25000,-1339.2060546875
1655945059.6594357,41000,-1015.5224609375
1655945067.4299958,43000,-949.302734375
1655945079.1382582,46000,-1027.974365234375
1655945087.0979443,48000,-902.1884765625
1655945111.0570555,54000,-1151.24072265625
1655945123.0133874,57000,-789.5081787109375
1655945186.8283844,72000,-370.1158142089844
1655945200.2813065,75000,-370.2002258300781
1655945222.5363123,80000,-369.5791320800781
1655945257.4966528,88000,-369.4796447753906
1655945287.1215196,95000,-369.2975158691406
1655945321.5378726,103000,-369.25775146484375
1655945334.43205,106000,-369.209716796875
1655945338.7104595,107000,-369.20135498046875
1655945367.93044,114000,-368.9678955078125
1655945427.0888693,127000,-366.4969482421875
1655945486.5735984,140000,-368.7095031738281
1655945533.8984141,151000,-369.0376892089844
1655945554.8097043,156000,-369.40032958984375
1655945567.3622093,159000,-369.1046142578125
1655945605.1176832,168000,-368.5008544921875
1655945609.2864316,169000,-368.55609130859375
1655945650.899217,179000,-368.14251708984375
1655945671.6337383,184000,-366.9613342285156
1655945679.8723931,186000,-366.03314208984375
1655945683.964253,187000,-367.1539001464844
1655945700.861626,191000,-365.76885986328125
1655945735.4475465,199000,-364.9648132324219
1655945775.8641946,207000,-367.23779296875
1655945781.0313938,208000,-367.6158142089844
1655945806.4395661,213000,-368.7208557128906
1655945860.090281,224000,-368.46722412109375
1655945889.0603485,230000,-368.4744567871094
1655945911.0825157,235000,-368.4595947265625
1655945924.7134125,238000,-368.4181213378906
1655945984.2827728,250000,-367.96484375
1655946009.9102535,256000,-368.5856628417969
1655946031.7004929,261000,-367.8758544921875
1655946062.4314377,268000,-368.2096862792969
1655946079.5744898,272000,-367.8168640136719
1655946087.8573408,274000,-367.6788330078125
1655946172.4966636,293000,-367.6469421386719
1655946195.3541892,298000,-366.9085998535156
1655946199.634498,299000,-367.2283020019531
1655946221.7254918,304000,-368.4085388183594
1655946242.750759,309000,-366.7699890136719
1655946251.688132,311000,-367.8535461425781
1655946286.5647538,319000,-367.4247131347656
1655946290.7226791,320000,-367.3851623535156
1655946320.1352065,327000,-368.0195617675781
1655946336.8247163,331000,-368.5854187011719
1655946375.292104,340000,-368.4444885253906
1655946409.3803637,348000,-367.3895263671875
1655946482.5135643,364000,-368.1159362792969
1655946500.0294254,368000,-368.8232727050781
1655946526.0081778,374000,-367.2410583496094
1655946543.1303537,378000,-369.0948791503906
1655946551.35691,380000,-367.8800048828125
1655946735.6847355,422000,-368.128662109375
1655946740.022847,423000,-368.6087341308594
1655946748.8316174,425000,-368.2362976074219
1655946775.6040463,431000,-368.3025817871094
1655946816.9963372,440000,-368.29034423828125
