Wall time,Step,Value
1652084921.396349,1000,-1.087142825126648
1652084937.665458,2000,-1.0535356998443604
1652084953.0686114,3000,-1.0995500087738037
1652084968.3715458,4000,-1.0317143201828003
1652084983.628276,5000,-1.093500018119812
1652084999.0080788,6000,-1.036916732788086
1652085014.1764715,7000,-0.9985000491142273
1652085028.744654,8000,-0.9985000491142273
1652085044.2138746,9000,-1.031749963760376
1652085059.560365,10000,-1.0537999868392944
1652085074.7067318,11000,-1.0
1652085089.9748826,12000,-1.0
1652085104.9664798,13000,-1.0
1652085120.1348789,14000,-1.0
1652085135.67008,15000,-0.8334230780601501
1652085150.3928142,16000,-1.1635000705718994
1652085165.606107,17000,-0.999500036239624
1652085180.6746047,18000,-1.087249994277954
1652085195.8443687,19000,-1.0958750247955322
1652085217.259306,20000,-1.1193749904632568
1652085234.3717568,21000,-1.0
1652085250.2387638,22000,-1.0
1652085267.0854044,23000,-1.4532500505447388
1652085284.334231,24000,-0.9990000128746033
1652085302.0907154,25000,-0.9990000128746033
1652085318.838889,26000,-0.9990000128746033
1652085334.4102674,27000,-0.9990000128746033
1652085355.4598753,28000,-0.9990000128746033
1652085371.5173974,29000,-1.1678333282470703
1652085387.0642798,30000,-0.9980000257492065
1652085401.7447932,31000,0.7118333578109741
1652085418.5810113,32000,-1.0870000123977661
1652085435.3716352,33000,-1.1516666412353516
1652085452.1194232,34000,-0.999500036239624
1652085468.6311767,35000,0.6846665143966675
1652085485.9998057,36000,-0.9985000491142273
1652085502.370983,37000,-0.9985000491142273
1652085517.5972478,38000,-0.9985000491142273
1652085532.8652177,39000,-0.9985000491142273
1652085548.034963,40000,-1.3263334035873413
1652085563.1367424,41000,0.9139999151229858
1652085578.1827927,42000,-0.999500036239624
1652085593.3296542,43000,-1.3005000352859497
1652085608.498668,44000,-0.9985000491142273
1652085623.6007886,45000,-0.9985000491142273
1652085638.625672,46000,-0.9985000491142273
1652085654.0942395,47000,-0.9985000491142273
1652085669.120773,48000,-1.033666729927063
1652085686.4337945,49000,-1.0841000080108643
1652085706.6463852,50000,-0.9980000257492065
1652085721.8481665,51000,-1.2678333520889282
1652085736.928871,52000,0.9543124437332153
1652085751.9867594,53000,-1.1626250743865967
1652085766.600037,54000,-1.0522500276565552
1652085781.7902412,55000,-0.9980000257492065
1652085796.903577,56000,-0.9980000257492065
1652085812.0505607,57000,-0.9980000257492065
1652085827.1630938,58000,-0.9980000257492065
1652085857.9008842,59000,-0.9980000257492065
1652085880.861772,60000,-0.9980000257492065
1652085895.78735,61000,0.7716665267944336
1652085910.923937,62000,-0.999500036239624
1652085926.3285117,63000,-0.999500036239624
1652085941.6288602,64000,1.71274995803833
1652085956.6432083,65000,0.8061665892601013
1652085971.82379,66000,-1.2473334074020386
1652085993.7613688,67000,0.828166663646698
1652086009.9974465,68000,0.46624991297721863
1652086025.0115252,69000,1.6047499179840088
1652086040.4695327,70000,-0.9980000257492065
1652086055.8285,71000,4.257166385650635
1652086070.9751148,72000,0.021799983456730843
1652086086.0767465,73000,0.2023749053478241
1652086101.256608,74000,1.8068749904632568
1652086116.4263608,75000,1.3280999660491943
1652086131.5612404,76000,0.6789999604225159
1652086146.1405897,77000,0.278874933719635
1652086161.3533862,78000,0.1354999542236328
1652086176.5552323,79000,1.5679999589920044
1652086191.6905634,80000,-1.250249981880188
1652086206.8251576,81000,-0.9990000128746033
1652086221.9164858,82000,2.1926000118255615
1652086237.0845127,83000,1.6457500457763672
1652086252.1857202,84000,-1.3071666955947876
1652086268.455548,85000,0.7402499914169312
1652086284.560433,86000,-1.4932500123977661
1652086300.4647565,87000,0.7441666722297668
1652086315.784294,88000,-1.3040000200271606
1652086333.4002106,89000,-0.9985000491142273
1652086348.781018,90000,0.7264999747276306
1652086364.3067942,91000,3.0979998111724854
1652086379.16441,92000,1.5444999933242798
1652086394.2681587,93000,3.385699987411499
1652086409.9098656,94000,3.3085999488830566
1652086425.1801054,95000,2.055285692214966
1652086440.6391053,96000,-0.40558335185050964
1652086462.0010495,97000,0.6254999041557312
1652086485.4141974,98000,1.9773999452590942
1652086504.685869,99000,4.4367499351501465
1652086519.753956,100000,3.310299873352051
1652086535.8339257,101000,1.6213748455047607
1652086551.135877,102000,0.6715832352638245
1652086566.4722624,103000,-0.2965000569820404
1652086582.1526773,104000,1.7143748998641968
1652086597.3218584,105000,2.016777753829956
1652086612.3572764,106000,3.4252777099609375
1652086628.0490232,107000,4.6570000648498535
1652086642.8286932,108000,2.916749954223633
1652086658.0529678,109000,4.515999794006348
1652086673.0988536,110000,4.342299938201904
