Wall time,Step,Value
1655091920.3798075,6000,-4062.707763671875
1655091923.3141527,7000,-6379.84716796875
1655091936.1209507,11000,-4628.91552734375
1655091939.2222095,12000,-5407.06396484375
1655091945.2261598,14000,-5126.40087890625
1655091948.4613092,15000,-4514.28662109375
1655091950.9958794,16000,-6877.95654296875
1655091954.508139,17000,-3903.0107421875
1655091957.398447,18000,-4942.33056640625
1655091961.0341291,19000,-4141.98779296875
1655091963.8802772,20000,-5564.806640625
1655091971.8698008,21000,-5115.42626953125
1655091984.3976948,25000,-3942.958740234375
1655091987.4783459,26000,-3260.174560546875
1655092012.9802198,34000,-3434.0478515625
1655092016.4361882,35000,-4039.703369140625
1655092022.6056724,37000,-6402.58203125
1655092032.2431507,40000,-3877.82275390625
1655092039.8567314,41000,-3159.298828125
1655092046.2933316,43000,-3326.79736328125
1655092050.0396447,44000,-3924.71142578125
1655092052.5849547,45000,-2826.53955078125
1655092056.8094594,46000,-3427.60009765625
1655092062.5561368,48000,-3152.442138671875
1655092069.5487597,50000,-3905.160400390625
1655092072.5503588,51000,-2992.51513671875
1655092081.7424266,54000,-4130.052734375
1655092084.810412,55000,-3341.1943359375
1655092088.4795823,56000,-4009.30810546875
1655092091.5707214,57000,-2736.761474609375
1655092094.5599706,58000,-4402.767578125
1655092103.6313858,61000,-3484.32275390625
1655092111.7886176,62000,-3615.666748046875
1655092118.292265,64000,-2855.822998046875
1655092124.5290613,66000,-2959.110595703125
1655092128.2856097,67000,-3944.2626953125
1655092130.7199686,68000,-4390.06884765625
1655092134.3328917,69000,-3357.266845703125
1655092143.7707534,72000,-4784.74267578125
1655092146.916645,73000,-2716.810546875
1655092149.929076,74000,-3698.631591796875
1655092152.9749389,75000,-2666.288818359375
1655092159.4336793,77000,-2625.63330078125
1655092169.3501046,80000,-3620.607177734375
1655092189.791912,85000,-3991.8984375
1655092192.881978,86000,-2335.90185546875
1655092196.549472,87000,-3192.865234375
1655092199.6514435,88000,-3445.073974609375
1655092202.7412355,89000,-3288.380615234375
1655092205.854428,90000,-3064.077392578125
1655092221.5730572,95000,-3383.6123046875
1655092252.1630218,103000,-1662.3673095703125
1655092259.0223906,105000,-7060.53076171875
1655092261.6784828,106000,-1801.8223876953125
1655092265.0691307,107000,-2416.380615234375
1655092287.7577496,114000,-2786.509765625
1655092297.607738,117000,-3146.85009765625
1655092304.4323676,119000,-2916.11376953125
1655092307.122462,120000,-3393.122314453125
1655092310.523613,121000,-1985.424560546875
1655092328.7181928,125000,-1834.7210693359375
1655092332.1407294,126000,-1959.00146484375
1655092335.321882,127000,-1917.234619140625
1655092345.3262813,130000,-2205.920166015625
1655092348.8397732,131000,-1391.6328125
1655092358.988823,134000,-1695.8671875
1655092372.4172938,138000,-2212.006591796875
1655092378.9086246,140000,-1643.8388671875
1655092385.6663656,142000,-2545.009521484375
1655092389.301441,143000,-1490.41455078125
1655092397.6251807,144000,-1871.9053955078125
1655092401.3616242,145000,-1149.0926513671875
1655092408.5983725,147000,-1324.0958251953125
1655092415.867428,149000,-1391.2816162109375
1655092423.1484783,151000,-1317.2744140625
1655092433.987475,154000,-1227.9561767578125
1655092437.7111413,155000,-1292.7216796875
1655092441.1670706,156000,-1424.8843994140625
1655092448.8372865,158000,-1113.9012451171875
1655092452.5160277,159000,-1258.3695068359375
1655092456.274461,160000,-1068.6124267578125
1655092467.356952,163000,-1227.4266357421875
1655092479.8719156,165000,-947.7711181640625
1655092483.9294484,166000,-811.1551513671875
1655092491.9986324,168000,-795.1480102539062
1655092496.0333447,169000,-787.9259643554688
1655092508.1154737,172000,-891.8338623046875
1655092523.7446702,176000,-860.6871948242188
1655092527.6904502,177000,-874.847412109375
1655092531.6581326,178000,-841.6366577148438
1655092535.7491407,179000,-878.013671875
1655092543.6308131,181000,-881.3496704101562
1655092547.5875218,182000,-865.7552490234375
1655092555.6574574,184000,-858.33984375
1655092568.8409455,186000,-666.34716796875
1655092573.1751988,187000,-675.6491088867188
1655092577.4884794,188000,-618.5164184570312
1655092581.700269,189000,-641.1649780273438
1655092590.1040158,191000,-658.83544921875
1655092594.4163153,192000,-710.199462890625
1655092624.217049,199000,-651.0237426757812
1655092641.479312,203000,-668.820068359375
1655092663.5093393,207000,-654.770751953125
